ApplicationType,BusinessType,City,StateCode,ZipCode,Created,Submitted,InReview,Billed,Paid,UnderInspection,Ready,Issued,Printed,DaysInCreatedStatus,DaysInReview,DaysInBilled,DaysInPaid,DaysInUnderInspection,DaysInReady,DaysInIssued,TotalDaysCreationToPrint_Original,PostalCode,TotalDaysCreationToIssuance_Recalc,TotalDaysCreationToIssuance_Ints,Human_Baseline,PostalCodeStratify,Created_DayOfYear,Created_Month,Created_DayOfMonth,Created_DayOfWeek,Created_Year
Certificate Of Use,Office,Miami,FL,33131,2019-09-23,,2019-09-23,2019-09-23,2019-09-24,2019-09-24,2019-09-30,2019-11-14,2019-11-15,0,0,1,0,6,45,1,53,33131,52 days 00:00:00.000000000,52,62,33131,266,9,23,0,2019
Certificate Of Use,Food Service Establishment,Miami,FL,33133,2019-09-24,,2019-09-24,2019-09-24,2019-09-26,2019-10-01,2019-10-07,2019-11-18,2019-11-21,0,0,2,5,6,42,3,58,33133,55 days 00:00:00.000000000,55,105,33133,267,9,24,1,2019
Certificate Of Use,Office,Miami,FL,33132,2019-09-23,,2019-09-23,2019-09-23,2019-09-25,2019-10-15,2019-11-05,2019-11-05,2019-11-15,0,0,2,20,21,0,10,53,33132,43 days 00:00:00.000000000,43,62,33132,266,9,23,0,2019
Certificate Of Use,Office,Miami,FL,33131,2019-09-23,2019-09-23,2019-09-24,2019-09-24,2019-10-25,2019-10-02,2019-10-11,2019-10-29,2019-11-04,1,0,31,-23,9,18,6,42,33131,36 days 00:00:00.000000000,36,62,33131,266,9,23,0,2019
Certificate Of Use,Unknown,Miami,FL,33130,2019-09-24,2019-09-24,2019-09-24,2019-09-24,2019-09-25,2019-09-30,2019-12-04,2019-12-26,2020-01-03,0,0,1,5,65,22,8,101,33130,93 days 00:00:00.000000000,93,413,33130,267,9,24,1,2019
Certificate Of Use,Office,Miami,FL,33132,2019-09-24,2019-09-24,2019-09-24,2019-09-24,2019-11-14,2019-11-14,2019-11-14,2019-11-15,2019-11-15,0,0,51,0,0,1,0,52,33132,52 days 00:00:00.000000000,52,62,33132,267,9,24,1,2019
Certificate Of Use,General Commercial,Miami,FL,33142,2019-09-24,2019-09-24,2019-09-26,2019-09-26,2019-09-27,2019-11-25,2019-12-30,2019-12-30,2020-01-03,2,0,1,59,35,0,4,101,33142,97 days 00:00:00.000000000,97,62,33142,267,9,24,1,2019
Certificate Of Use,Office,Miami,FL,33137,2019-09-24,2019-09-24,2019-09-25,2019-09-25,2019-09-26,2019-11-12,2019-11-12,2019-11-14,2019-11-15,1,0,1,47,0,2,1,52,33137,51 days 00:00:00.000000000,51,62,33137,267,9,24,1,2019
Certificate Of Use,Unknown,Miami,FL,33137,2019-09-26,,2019-09-26,2019-09-26,2019-09-27,2019-10-07,2019-10-08,2019-10-08,2019-10-17,0,0,1,10,1,0,9,21,33137,12 days 00:00:00.000000000,12,413,33137,269,9,26,3,2019
Certificate Of Use,General Commercial,Miami,FL,33127,2019-09-25,2019-09-25,2019-09-26,2019-09-26,2019-09-27,2019-10-18,2019-10-18,2019-10-21,2019-10-24,1,0,1,21,0,3,3,29,33127,26 days 00:00:00.000000000,26,62,33127,268,9,25,2,2019
Certificate Of Use,Food Service Establishment,Miami,FL,33126,2019-09-25,2019-09-25,2019-09-25,2019-09-25,2019-09-26,2019-10-31,2019-11-14,2020-01-30,2020-02-06,0,0,1,35,14,77,7,134,33126,127 days 00:00:00.000000000,127,105,33126,268,9,25,2,2019
Certificate Of Use,Food Service Establishment,Miami,FL,33127,2019-09-25,2019-09-25,2019-09-25,2019-09-25,2019-10-02,2019-10-04,2019-10-07,2019-11-05,2019-11-15,0,0,7,2,3,29,10,51,33127,41 days 00:00:00.000000000,41,105,33127,268,9,25,2,2019
Certificate Of Use,Multi Family Housing,Miami,FL,33125,2019-09-25,2019-09-25,2019-09-30,2019-09-30,2019-12-16,2019-12-17,2019-12-18,2020-02-11,2020-02-13,5,0,77,1,1,55,2,141,33125,139 days 00:00:00.000000000,139,156,33125,268,9,25,2,2019
Certificate Of Use,General Commercial,Miami,FL,33131,2019-09-25,2019-09-25,2019-09-25,2019-09-25,2019-09-26,2019-09-27,2019-09-27,2019-09-27,2019-09-30,0,0,1,1,0,0,3,5,33131,2 days 00:00:00.000000000,2,62,33131,268,9,25,2,2019
Certificate Of Use,Office,Miami,FL,33145,2019-09-26,2019-09-26,2019-09-26,2019-09-26,2019-09-27,2019-10-15,2019-10-23,2019-11-14,2019-11-15,0,0,1,18,8,22,1,50,33145,49 days 00:00:00.000000000,49,62,33145,269,9,26,3,2019
Certificate Of Use,Unknown,Miami,FL,33138,2019-09-26,,2019-09-26,2019-09-26,2019-09-27,2019-10-09,2019-10-17,2019-10-17,2019-10-17,0,0,1,12,8,0,0,21,33138,21 days 00:00:00.000000000,21,413,33138,269,9,26,3,2019
Accessory Of Use,Home Office,Miami,FL,33137,2019-10-02,2019-10-02,2019-10-02,2019-10-02,2019-10-03,2019-11-07,2019-11-07,2019-11-07,2019-11-15,0,0,1,35,0,0,8,44,33137,36 days 00:00:00.000000000,36,28,33137,275,10,2,2,2019
Certificate Of Use,Office,Miami,FL,33131,2019-10-01,,2019-10-01,2019-10-01,2019-10-02,2019-10-04,2019-10-07,2019-10-24,2019-10-24,0,0,1,2,3,17,0,23,33131,23 days 00:00:00.000000000,23,62,33131,274,10,1,1,2019
Certificate Of Use,Food Service Establishment,Miami,FL,33135,2019-10-01,,2019-10-01,2019-10-01,2019-10-01,2019-11-21,2019-11-27,2019-11-27,2019-12-06,0,0,0,51,6,0,9,66,33135,57 days 00:00:00.000000000,57,105,33135,274,10,1,1,2019
Certificate Of Use,General Commercial,Miami,FL,33137,2019-09-26,2019-09-26,2019-09-26,2019-09-26,2020-01-28,2020-01-29,2020-02-05,2020-02-05,2020-02-06,0,0,124,1,7,0,1,133,33137,132 days 00:00:00.000000000,132,62,33137,269,9,26,3,2019
Certificate Of Use,Office,Miami,FL,33137,2019-09-26,2019-09-26,2019-09-30,2019-09-30,2019-10-22,2019-10-23,2019-11-15,2019-11-15,2019-11-15,4,0,22,1,23,0,0,50,33137,50 days 00:00:00.000000000,50,62,33137,269,9,26,3,2019
Certificate Of Use,Auto-Related Commercial Establishment,Miami,FL,33127,2019-09-27,2019-09-27,2019-09-27,2019-09-27,2019-11-01,2019-11-12,2019-11-12,2019-11-12,2019-11-15,0,0,35,11,0,0,3,49,33127,46 days 00:00:00.000000000,46,62,33127,270,9,27,4,2019
Certificate Of Use,Hotel,Miami,FL,33131,2019-09-27,,2019-09-27,2019-09-27,2019-10-01,2019-12-09,2020-01-08,2020-01-24,2020-01-27,0,0,4,69,30,16,3,122,33131,119 days 00:00:00.000000000,119,156,33131,270,9,27,4,2019
Certificate Of Use,Unknown,Miami,FL,33127,2019-09-27,,2019-09-27,2019-09-27,2019-12-05,2019-12-26,2019-12-26,2019-12-26,2020-01-03,0,0,69,21,0,0,8,98,33127,90 days 00:00:00.000000000,90,413,33127,270,9,27,4,2019
Certificate Of Use,Office,Miami,FL,33138,2019-09-27,,2019-09-27,2019-09-27,2019-10-11,2019-10-11,2019-10-15,2019-10-22,2019-10-24,0,0,14,0,4,7,2,27,33138,25 days 00:00:00.000000000,25,62,33138,270,9,27,4,2019
Certificate Of Use,General Commercial,Miami,FL,33135,2019-09-28,2019-09-28,2019-10-01,2019-10-01,2019-10-02,2019-10-09,2019-10-24,2019-10-25,2019-11-04,3,0,1,7,15,1,10,37,33135,27 days 00:00:00.000000000,27,62,33135,271,9,28,5,2019
Certificate Of Use,Alcohol Beverage Service Establishment,Miami,FL,33132,2019-09-29,2019-09-29,2019-10-03,2019-10-03,2019-10-04,2019-11-08,2019-11-12,2019-11-18,2019-11-21,4,0,1,35,4,6,3,53,33132,50 days 00:00:00.000000000,50,113,33132,272,9,29,6,2019
Certificate Of Use,Unknown,Miami,FL,33131,2019-09-30,,2019-09-30,2019-09-30,2019-11-27,2019-12-04,2020-01-16,2020-01-16,2020-01-17,0,0,58,7,43,0,1,109,33131,108 days 00:00:00.000000000,108,413,33131,273,9,30,0,2019
Certificate Of Use,Office,Miami,FL,33131,2019-09-30,2019-09-30,2019-10-04,2019-10-04,2019-10-11,2019-10-15,2019-10-28,2019-10-28,2019-11-04,4,0,7,4,13,0,7,35,33131,28 days 00:00:00.000000000,28,62,33131,273,9,30,0,2019
Certificate Of Use,Unknown,Miami,FL,33127,2019-09-30,,2019-09-30,2019-09-30,2019-10-10,2019-10-24,2019-10-25,2019-10-25,2019-11-04,0,0,10,14,1,0,10,35,33127,25 days 00:00:00.000000000,25,413,33127,273,9,30,0,2019
Certificate Of Use,Multi Family Housing,Miami,FL,33125,2019-09-30,,2019-09-30,2019-09-30,2019-10-01,2019-10-09,2019-10-30,2019-10-30,2019-11-04,0,0,1,8,21,0,5,35,33125,30 days 00:00:00.000000000,30,156,33125,273,9,30,0,2019
Certificate Of Use,Multi Family Housing,Miami,FL,33130,2019-09-30,2019-09-30,2019-10-02,2019-10-02,,2019-10-02,2019-10-03,2019-10-30,2019-11-04,2,0,,,1,27,5,35,33130,30 days 00:00:00.000000000,30,156,33130,273,9,30,0,2019
Certificate Of Use,General Commercial,Miami,FL,33134,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-11-04,2019-11-06,2019-11-06,2019-11-06,2019-11-15,0,0,35,2,0,0,9,46,33134,37 days 00:00:00.000000000,37,62,33134,273,9,30,0,2019
Certificate Of Use,General Commercial,Miami,FL,33131,2019-10-01,,2019-10-01,2019-10-01,2019-10-07,2019-10-15,2019-10-23,2019-10-23,2019-10-24,0,0,6,8,8,0,1,23,33131,22 days 00:00:00.000000000,22,62,33131,274,10,1,1,2019
Certificate Of Use,Unknown,Miami,FL,33144,2019-10-01,,2019-10-01,2019-10-01,2019-10-01,2019-10-07,2019-10-15,2019-10-15,2019-10-17,0,0,0,6,8,0,2,16,33144,14 days 00:00:00.000000000,14,413,33144,274,10,1,1,2019
Certificate Of Use,General Commercial,Miami,FL,33125,2019-09-30,,2019-09-30,2019-09-30,2019-12-23,2019-12-23,2020-01-08,2020-01-15,2020-01-17,0,0,84,0,16,7,2,109,33125,107 days 00:00:00.000000000,107,62,33125,273,9,30,0,2019
Certificate Of Use,Food Service Establishment,Miami,FL,33135,2019-10-01,,2019-10-01,2019-10-01,2019-10-01,2019-10-04,2019-12-23,2019-12-23,2020-01-03,0,0,0,3,80,0,11,94,33135,83 days 00:00:00.000000000,83,105,33135,274,10,1,1,2019
Certificate Of Use,Office,Miami,FL,33126,2019-10-01,,2019-10-01,2019-10-01,2019-10-02,2019-10-15,2019-10-17,2019-10-17,2019-10-17,0,0,1,13,2,0,0,16,33126,16 days 00:00:00.000000000,16,62,33126,274,10,1,1,2019
Certificate Of Use,Unknown,Miami,FL,33127,2019-09-30,2019-09-30,2019-10-01,2019-10-01,2019-10-01,2019-10-03,2019-10-07,2019-10-07,2019-10-17,1,0,0,2,4,0,10,17,33127,7 days 00:00:00.000000000,7,413,33127,273,9,30,0,2019
Certificate Of Use,Office,Miami,FL,33130,2019-09-30,2019-09-30,2019-10-07,2019-10-07,2019-10-08,2019-10-31,2019-11-26,2019-11-26,2019-12-06,7,0,1,23,26,0,10,67,33130,57 days 00:00:00.000000000,57,62,33130,273,9,30,0,2019
Certificate Of Use,General Commercial,Miami,FL,33137,2019-09-30,2019-09-30,2019-10-03,2019-10-03,2019-10-04,2019-10-23,2019-10-28,2019-10-28,2019-11-04,3,0,1,19,5,0,7,35,33137,28 days 00:00:00.000000000,28,62,33137,273,9,30,0,2019
Certificate Of Use,General Commercial,Miami,FL,33125,2019-09-30,2019-09-30,2019-10-01,2019-10-01,2019-10-01,2019-10-03,2019-10-09,2019-11-05,2019-11-15,1,0,0,2,6,27,10,46,33125,36 days 00:00:00.000000000,36,62,33125,273,9,30,0,2019
Certificate Of Use,Office,Miami,FL,33125,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-02,2019-10-15,2019-10-15,2019-10-23,2019-10-24,0,0,1,13,0,8,1,23,33125,22 days 00:00:00.000000000,22,62,33125,274,10,1,1,2019
Certificate Of Use,Office,Miami,FL,33133,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-02,2019-10-04,2019-10-09,2019-10-23,2019-10-24,0,0,1,2,5,14,1,23,33133,22 days 00:00:00.000000000,22,62,33133,274,10,1,1,2019
Certificate Of Use,Office,Miami,FL,33145,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2020-10-01,2019-10-01,2019-10-03,2019-11-15,2019-11-15,0,0,366,-366,2,43,0,45,33145,45 days 00:00:00.000000000,45,62,33145,274,10,1,1,2019
Certificate Of Use,Office,Miami,FL,33145,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2020-10-01,2019-10-01,2019-10-03,2019-11-15,2019-11-15,0,0,366,-366,2,43,0,45,33145,45 days 00:00:00.000000000,45,62,33145,274,10,1,1,2019
Certificate Of Use,Office,Miami,FL,33145,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-02,2019-10-03,2019-10-03,2019-10-03,2019-10-17,0,0,1,1,0,0,14,16,33145,2 days 00:00:00.000000000,2,62,33145,274,10,1,1,2019
Certificate Of Use,General Commercial,Miami,FL,33130,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-03,2019-10-04,2019-10-10,2019-10-15,2019-10-17,0,0,2,1,6,5,2,16,33130,14 days 00:00:00.000000000,14,62,33130,274,10,1,1,2019
Certificate Of Use,General Commercial,Miami,FL,33125,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-02,2019-10-03,2019-11-06,2019-11-12,2019-11-15,0,0,1,1,34,6,3,45,33125,42 days 00:00:00.000000000,42,62,33125,274,10,1,1,2019
Certificate Of Use,General Commercial,Miami,FL,33132,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-02,2019-10-09,2019-10-09,2019-10-23,2019-10-24,0,0,1,7,0,14,1,23,33132,22 days 00:00:00.000000000,22,62,33132,274,10,1,1,2019
Certificate Of Use,Unknown,Miami,FL,33133,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-11-06,2019-12-02,2019-12-02,2019-12-06,0,0,0,36,26,0,4,66,33133,62 days 00:00:00.000000000,62,413,33133,274,10,1,1,2019
Certificate Of Use,Office,Miami,FL,33137,2019-10-01,2019-10-01,2019-10-03,2019-10-03,2019-10-04,2019-10-15,2019-10-18,2019-10-18,2019-10-24,2,0,1,11,3,0,6,23,33137,17 days 00:00:00.000000000,17,62,33137,274,10,1,1,2019
Certificate Of Use,Multi Family Housing,Miami,FL,33130,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-02,2019-10-08,2019-12-09,2019-12-09,2019-12-18,0,0,1,6,62,0,9,78,33130,69 days 00:00:00.000000000,69,156,33130,274,10,1,1,2019
Certificate Of Use,Office,Miami,FL,33131,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-02,2019-10-04,2019-10-09,2019-10-16,2019-10-17,0,0,1,2,5,7,1,16,33131,15 days 00:00:00.000000000,15,62,33131,274,10,1,1,2019
Certificate Of Use,Office,Miami,FL,33131,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-02,2019-10-04,2019-10-07,2019-10-08,2019-10-17,0,0,1,2,3,1,9,16,33131,7 days 00:00:00.000000000,7,62,33131,274,10,1,1,2019
Certificate Of Use,General Commercial,Miami,FL,33130,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-21,2019-10-23,2019-10-23,2019-10-24,0,0,0,20,2,0,1,23,33130,22 days 00:00:00.000000000,22,62,33130,274,10,1,1,2019
Certificate Of Use,General Commercial,Miami,FL,33130,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-02,2019-10-04,2019-10-15,2019-10-23,2019-10-24,0,0,1,2,11,8,1,23,33130,22 days 00:00:00.000000000,22,62,33130,274,10,1,1,2019
Certificate Of Use,Food Service Establishment,Miami,FL,33135,2019-10-01,2019-10-01,2019-10-03,2019-10-03,2019-10-07,2019-12-05,2019-12-13,2019-12-18,2019-12-18,2,0,4,59,8,5,0,78,33135,78 days 00:00:00.000000000,78,105,33135,274,10,1,1,2019
Certificate Of Use,Food Service Establishment,Miami,FL,33145,2019-10-01,2019-10-01,2019-10-03,2019-10-03,2019-10-07,2019-11-21,2019-11-26,2019-12-03,2019-12-06,2,0,4,45,5,7,3,66,33145,63 days 00:00:00.000000000,63,105,33145,274,10,1,1,2019
Certificate Of Use,Office,Miami,FL,33131,2019-10-01,,2019-10-01,2019-10-01,2019-10-03,2019-10-07,2019-10-17,2019-10-29,2019-11-04,0,0,2,4,10,12,6,34,33131,28 days 00:00:00.000000000,28,62,33131,274,10,1,1,2019
Certificate Of Use,Office,Miami,FL,33131,2019-10-01,,2019-10-01,2019-10-01,2019-10-03,2019-11-06,2019-11-06,2019-11-06,2019-11-15,0,0,2,34,0,0,9,45,33131,36 days 00:00:00.000000000,36,62,33131,274,10,1,1,2019
Certificate Of Use,General Commercial,Miami,FL,33142,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-03,2019-10-10,2019-10-15,2019-10-17,2019-10-17,0,0,2,7,5,2,0,16,33142,16 days 00:00:00.000000000,16,62,33142,274,10,1,1,2019
Certificate Of Use,Office,Miami,FL,33132,2019-10-01,2019-10-01,2019-10-07,2019-10-07,2019-10-08,2019-10-08,2019-10-09,2019-10-25,2019-11-04,6,0,1,0,1,16,10,34,33132,24 days 00:00:00.000000000,24,62,33132,274,10,1,1,2019
Certificate Of Use,General Commercial,Miami,FL,33137,2019-10-01,2019-10-01,2019-10-02,2019-10-02,2019-10-03,2019-10-04,2019-10-08,2019-10-16,2019-10-17,1,0,1,1,4,8,1,16,33137,15 days 00:00:00.000000000,15,62,33137,274,10,1,1,2019
Certificate Of Use,General Commercial,Miami,FL,33132,2019-10-02,,2019-10-02,2019-10-02,2019-10-03,2019-10-22,2019-11-13,2019-11-13,2019-11-15,0,0,1,19,22,0,2,44,33132,42 days 00:00:00.000000000,42,62,33132,275,10,2,2,2019
Certificate Of Use,Office,Miami,FL,33131,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-04,2019-10-15,2019-10-17,2019-10-17,0,0,0,3,11,2,0,16,33131,16 days 00:00:00.000000000,16,62,33131,274,10,1,1,2019
Certificate Of Use,General Commercial,Miami,FL,33132,2019-10-02,2019-10-02,2019-10-02,2019-10-02,2019-10-03,2019-11-05,2019-11-05,2019-11-05,2019-11-15,0,0,1,33,0,0,10,44,33132,34 days 00:00:00.000000000,34,62,33132,275,10,2,2,2019
Certificate Of Use,Unknown,Miami,FL,33127,2019-10-02,,2019-10-02,2019-10-02,2019-10-03,2019-10-08,2019-10-08,2019-10-08,2019-10-17,0,0,1,5,0,0,9,15,33127,6 days 00:00:00.000000000,6,413,33127,275,10,2,2,2019
Certificate Of Use,Office,Miami,FL,33136,2019-10-02,2019-10-02,2019-10-02,2019-10-02,2019-10-03,2019-10-11,2019-10-16,2019-10-16,2019-10-17,0,0,1,8,5,0,1,15,33136,14 days 00:00:00.000000000,14,62,33136,275,10,2,2,2019
Certificate Of Use,General Commercial,Miami,FL,33142,2019-10-07,,2019-10-07,2019-10-07,2019-10-09,2019-10-10,2019-10-15,2019-11-04,2019-11-04,0,0,2,1,5,20,0,28,33142,28 days 00:00:00.000000000,28,62,33142,280,10,7,0,2019
Certificate Of Use,General Commercial,Miami,FL,33142,2019-10-02,,2019-10-02,2019-10-02,2019-10-03,2020-01-08,2020-01-09,2020-01-09,2020-01-17,0,0,1,97,1,0,8,107,33142,99 days 00:00:00.000000000,99,62,33142,275,10,2,2,2019
Certificate Of Use,Unknown,Miami,FL,33130,2019-10-02,,2019-10-02,2019-10-02,2019-10-03,2019-10-11,2019-10-23,2019-10-23,2019-10-24,0,0,1,8,12,0,1,22,33130,21 days 00:00:00.000000000,21,413,33130,275,10,2,2,2019
Certificate Of Use,General Commercial,Miami,FL,33135,2019-10-02,2019-10-02,2019-10-02,2019-10-02,2019-10-03,2019-10-22,2019-10-24,2019-10-25,2019-11-04,0,0,1,19,2,1,10,33,33135,23 days 00:00:00.000000000,23,62,33135,275,10,2,2,2019
Certificate Of Use,Hotel,Miami,FL,33126,2019-10-02,2019-10-02,2019-10-02,2019-10-02,2019-10-03,2019-10-24,2019-12-26,2019-12-26,2020-01-03,0,0,1,21,63,0,8,93,33126,85 days 00:00:00.000000000,85,156,33126,275,10,2,2,2019
Certificate Of Use,Food Service Establishment,Miami,FL,33131,2019-10-02,,2019-10-02,2019-10-02,2019-10-04,2019-10-22,2019-10-23,2019-11-07,2019-11-15,0,0,2,18,1,15,8,44,33131,36 days 00:00:00.000000000,36,105,33131,275,10,2,2,2019
Certificate Of Use,Multi Family Housing,Miami,FL,33135,2019-10-02,2019-10-02,2019-10-02,2019-10-02,2019-10-03,2019-10-18,2019-11-08,2019-11-08,2019-11-15,0,0,1,15,21,0,7,44,33135,37 days 00:00:00.000000000,37,156,33135,275,10,2,2,2019
Certificate Of Use,Multi Family Housing,Miami,FL,33130,2019-10-02,2019-10-02,2019-10-02,2019-10-02,2019-10-03,2019-10-15,2019-12-26,2019-12-26,2020-01-03,0,0,1,12,72,0,8,93,33130,85 days 00:00:00.000000000,85,156,33130,275,10,2,2,2019
Certificate Of Use,Unknown,Miami,FL,33137,2019-10-02,2019-10-02,2019-10-02,2019-10-02,2019-10-03,2019-10-16,2019-10-18,2019-10-18,2019-10-24,0,0,1,13,2,0,6,22,33137,16 days 00:00:00.000000000,16,413,33137,275,10,2,2,2019
Certificate Of Use,Unknown,Miami,FL,33130,2019-10-02,2019-10-02,2019-10-11,2019-10-11,2019-10-12,2019-10-29,2020-01-06,2020-01-06,2020-01-17,9,0,1,17,69,0,11,107,33130,96 days 00:00:00.000000000,96,413,33130,275,10,2,2,2019
Certificate Of Use,General Commercial,Miami,FL,33131,2019-10-02,2019-10-02,2019-10-02,2019-10-02,2019-10-05,2020-01-09,2020-01-22,2020-01-22,2020-01-27,0,0,3,96,13,0,5,117,33131,112 days 00:00:00.000000000,112,62,33131,275,10,2,2,2019
Certificate Of Use,General Commercial,Miami,FL,33142,2019-10-02,2019-10-02,2019-10-03,2019-10-03,2019-10-04,2020-09-22,2020-11-04,2020-11-06,2020-11-06,1,0,1,354,43,2,0,401,33142,401 days 00:00:00.000000000,401,62,33142,275,10,2,2,2019
Certificate Of Use,Multi Family Housing,Miami,FL,33135,2019-10-02,2019-10-02,2019-10-02,2019-10-02,2019-10-04,2019-10-17,2019-10-17,2019-11-27,2019-12-06,0,0,2,13,0,41,9,65,33135,56 days 00:00:00.000000000,56,156,33135,275,10,2,2,2019
Certificate Of Use,General Commercial,Miami,FL,33135,2019-10-02,2019-10-02,2019-10-02,2019-10-02,2019-10-04,2019-10-17,2019-10-17,2019-10-17,2019-10-17,0,0,2,13,0,0,0,15,33135,15 days 00:00:00.000000000,15,62,33135,275,10,2,2,2019
Certificate Of Use,Office,Miami,FL,33145,2019-10-03,2019-10-03,2019-10-03,2019-10-03,2019-10-04,2019-10-07,2019-10-10,2019-10-15,2019-10-17,0,0,1,3,3,5,2,14,33145,12 days 00:00:00.000000000,12,62,33145,276,10,3,3,2019
Certificate Of Use,Office,Miami,FL,33131,2019-10-03,,2019-10-03,2019-10-03,2019-10-04,2019-10-04,2019-10-17,2019-10-18,2019-10-24,0,0,1,0,13,1,6,21,33131,15 days 00:00:00.000000000,15,62,33131,276,10,3,3,2019
Certificate Of Use,Unknown,Miami,FL,33135,2019-10-03,2019-10-03,2019-10-03,2019-10-03,2019-10-07,2019-11-08,2019-11-08,2019-11-14,2019-11-15,0,0,4,32,0,6,1,43,33135,42 days 00:00:00.000000000,42,413,33135,276,10,3,3,2019
Certificate Of Use,General Commercial,Miami,FL,33132,2019-10-03,,2019-10-03,2019-10-03,2019-10-04,2019-10-11,2019-12-19,2019-12-19,2020-01-03,0,0,1,7,69,0,15,92,33132,77 days 00:00:00.000000000,77,62,33132,276,10,3,3,2019
Certificate Of Use,Hotel,Miami,FL,33129,2019-10-03,,2019-10-03,2019-10-03,2019-10-19,2019-11-06,2019-11-06,2019-11-08,2019-11-15,0,0,16,18,0,2,7,43,33129,36 days 00:00:00.000000000,36,156,33129,276,10,3,3,2019
Certificate Of Use,Hotel,Miami,FL,33129,2019-10-03,,2019-10-03,2019-10-03,2019-10-19,2019-11-06,2019-11-06,2019-11-08,2019-11-15,0,0,16,18,0,2,7,43,33129,36 days 00:00:00.000000000,36,156,33129,276,10,3,3,2019
Certificate Of Use,General Commercial,Miami,FL,33132,2019-10-03,,2019-10-03,2019-10-03,2019-10-04,2019-11-01,2019-11-01,2019-11-05,2019-11-15,0,0,1,28,0,4,10,43,33132,33 days 00:00:00.000000000,33,62,33132,276,10,3,3,2019
Certificate Of Use,Office,Miami,FL,33133,2019-10-03,2019-10-03,2019-10-03,2019-10-03,2019-10-04,2019-10-29,2019-10-31,2019-11-04,2019-11-15,0,0,1,25,2,4,11,43,33133,32 days 00:00:00.000000000,32,62,33133,276,10,3,3,2019
Certificate Of Use,General Commercial,Miami,FL,33127,2019-10-03,2019-10-03,2019-10-03,2019-10-03,2019-10-04,2019-10-10,2019-10-16,2019-10-16,2019-10-17,0,0,1,6,6,0,1,14,33127,13 days 00:00:00.000000000,13,62,33127,276,10,3,3,2019
Certificate Of Use,General Commercial,Miami,FL,33137,2019-10-03,2019-10-03,2019-10-07,2019-10-07,2020-10-02,2019-10-07,2019-10-15,2019-10-16,2019-10-17,4,0,361,-361,8,1,1,14,33137,13 days 00:00:00.000000000,13,62,33137,276,10,3,3,2019
Certificate Of Use,General Commercial,Miami,FL,33137,2019-10-04,2019-10-04,2019-10-04,2019-10-04,2019-10-07,2019-11-15,2019-11-21,2019-11-21,2019-11-21,0,0,3,39,6,0,0,48,33137,48 days 00:00:00.000000000,48,62,33137,277,10,4,4,2019
Certificate Of Use,Multi Family Housing,Miami,FL,33125,2019-10-04,,2019-10-04,2019-10-04,2019-10-05,2019-10-22,2019-10-28,2019-10-28,2019-11-04,0,0,1,17,6,0,7,31,33125,24 days 00:00:00.000000000,24,156,33125,277,10,4,4,2019
Certificate Of Use,Unknown,Miami,FL,33135,2019-10-04,,2019-10-04,2019-10-04,2019-10-05,2019-10-29,2019-10-29,2019-11-04,2019-11-04,0,0,1,24,0,6,0,31,33135,31 days 00:00:00.000000000,31,413,33135,277,10,4,4,2019
Certificate Of Use,Office,Miami,FL,33131,2019-10-04,2019-10-04,2019-10-04,2019-10-04,2019-10-07,2019-10-11,2019-10-15,2019-10-23,2019-10-24,0,0,3,4,4,8,1,20,33131,19 days 00:00:00.000000000,19,62,33131,277,10,4,4,2019
Certificate Of Use,Food Service Establishment,Miami,FL,33133,2019-10-04,2019-10-04,2019-10-04,2019-10-04,2019-10-05,2019-10-08,2019-10-18,2019-10-22,2019-10-24,0,0,1,3,10,4,2,20,33133,18 days 00:00:00.000000000,18,105,33133,277,10,4,4,2019
Certificate Of Use,Office,Miami,FL,33131,2019-10-04,2019-10-04,2019-10-11,2019-10-11,2019-10-15,2019-10-31,2019-10-31,2019-10-31,2019-11-04,7,0,4,16,0,0,4,31,33131,27 days 00:00:00.000000000,27,62,33131,277,10,4,4,2019
Certificate Of Use,Office,Miami,FL,33131,2019-10-04,2019-10-04,2019-10-04,2019-10-04,2019-10-07,2019-10-11,2019-10-15,2019-10-23,2019-10-24,0,0,3,4,4,8,1,20,33131,19 days 00:00:00.000000000,19,62,33131,277,10,4,4,2019
